id_kabkota,kab_kota,prov,total_prod,loss_multi_nonclimate_rp25,loss_multi_nonclimate_rp50,loss_multi_nonclimate_rp100,loss_multi_nonclimate_rp250,loss_multi_climate_rp25,loss_multi_climate_rp50,loss_multi_climate_rp100,loss_multi_climate_rp250,aal_nonclimate_v2,aal_climate_v2
1506,Tanjung Jabung Barat,Jambi,14339.58,,,,,,,,,,
1507,Tanjung Jabung Timur,Jambi,24562.32,,,,,,,,,,
1508,Bungo,Jambi,17110.03,,,,,,,,,,
1509,Tebo,Jambi,19561.77,,,,,,,,,,
1571,Jambi,Jambi,1298.62,,,,,,,,,,
1572,Sungai Penuh,Jambi,35880.87,,,,,,,,,,
1601,Ogan Komering Ulu,Sumatera Selatan,13784.51,,,,,,,,,,
1602,Ogan Komering Ilir,Sumatera Selatan,534586.78,,,,,,,,,,
1603,Muara Enim,Sumatera Selatan,55650.55,,,,,,,,,,
1604,Lahat,Sumatera Selatan,74549.71,,,,,,,,,,
1605,Musi Rawas,Sumatera Selatan,100005.52,,,,,,,,,,
1606,Musi Banyuasin,Sumatera Selatan,144445.74,,,,,,,,,,
1607,Banyuasin,Sumatera Selatan,897427.6,,,,,,,,,,
1608,Ogan Komering Ulu Timur,Sumatera Selatan,701509.52,,,,,,,,,,
1609,Ogan Komering Ulu Selatan,Sumatera Selatan,39203.3,,,,,,,,,,
1610,Ogan Ilir,Sumatera Selatan,104927.85,,,,,,,,,,
1611,Empat Lawang,Sumatera Selatan,39687.3,,,,,,,,,,
1612,Penukal Abab Lematang Ilir,Sumatera Selatan,22573.26,,,,,,,,,,
1613,Musi Rawas Utara,Sumatera Selatan,12304.47,,,,,,,,,,
1671,Palembang,Sumatera Selatan,11067.82,,,,,,,,,,
1672,Pagar Alam,Sumatera Selatan,16820.27,,,,,,,,,,
1673,Lubuk Linggau,Sumatera Selatan,6381.94,,,,,,,,,,
1674,Prabumulih,Sumatera Selatan,143.12,,,,,,,,,,
1701,Bengkulu Selatan,Bengkulu,50237.54,,,,,,,,,,
1702,Rejang Lebong,Bengkulu,35899.06,,,,,,,,,,
1703,Bengkulu Utara,Bengkulu,19728.24,,,,,,,,,,
1704,Kaur,Bengkulu,24207.7,,,,,,,,,,
1705,Seluma,Bengkulu,43588.0,,,,,,,,,,
1706,Muko Muko,Bengkulu,31370.91,,,,,,,,,,
1707,Lebong,Bengkulu,50510.99,,,,,,,,,,
1708,Kepahiang,Bengkulu,14986.45,,,,,,,,,,
1709,Bengkulu Tengah,Bengkulu,5271.28,,,,,,,,,,
1771,Bengkulu,Bengkulu,5809.92,,,,,,,,,,
1801,Lampung Selatan,Lampung,339941.87,,,,,,,,,,
1802,Lampung Tengah,Lampung,566601.47,,,,,,,,,,
1803,Lampung Utara,Lampung,63452.76,,,,,,,,,,
1804,Lampung Barat,Lampung,62802.09,,,,,,,,,,
1805,Tulang Bawang,Lampung,268323.74,,,,,,,,,,
1806,Tanggamus,Lampung,128674.92,,,,,,,,,,
1807,Lampung Timur,Lampung,449294.9,,,,,,,,,,
1808,Way Kanan,Lampung,100985.27,,,,,,,,,,
1809,Pesawaran,Lampung,130558.89,,,,,,,,,,
1810,Pringsewu,Lampung,137096.53,,,,,,,,,,
1811,Mesuji,Lampung,296934.72,,,,,,,,,,
1812,Tulang Bawang Barat,Lampung,50700.33,,,,,,,,,,
1813,Pesisir Barat,Lampung,60772.93,,,,,,,,,,
1871,Bandar Lampung,Lampung,2721.97,,,,,,,,,,
1872,Metro,Lampung,29297.35,,,,,,,,,,
1901,Bangka,Kepulauan Bangka Belitung,4574.6,,,,,,,,,,
1902,Belitung,Kepulauan Bangka Belitung,807.06,,,,,,,,,,
1903,Bangka Selatan,Kepulauan Bangka Belitung,52191.12,,,,,,,,,,
1904,Bangka Tengah,Kepulauan Bangka Belitung,310.07,,,,,,,,,,
1905,Bangka Barat,Kepulauan Bangka Belitung,2152.7,,,,,,,,,,
1906,Belitung Timur,Kepulauan Bangka Belitung,1389.52,,,,,,,,,,
1971,Pangkal Pinang,Kepulauan Bangka Belitung,0.0,,,,,,,,,,
2101,Bintan,Kepulauan Riau,25.36,,,,,,,,,,
2102,Karimun,Kepulauan Riau,0.0,,,,,,,,,,
2103,Natuna,Kepulauan Riau,287.3,,,,,,,,,,
2104,Lingga,Kepulauan Riau,118.12,,,,,,,,,,
2105,Kepulauan Anambas,Kepulauan Riau,76.13,,,,,,,,,,
2171,Batam,Kepulauan Riau,0.0,,,,,,,,,,
2172,Tanjung Pinang,Kepulauan Riau,0.0,,,,,,,,,,
3101,Kepulauan Seribu,DKI Jakarta,0.0,,,,,,,,,,
3171,Jakarta Selatan,DKI Jakarta,0.0,,,,,,,,,,
3172,Jakarta Timur,DKI Jakarta,187.0,,,,,,,,,,
3173,Jakarta Pusat,DKI Jakarta,0.0,,,,,,,,,,
3174,Jakarta Barat,DKI Jakarta,181.0,,,,,,,,,,
3175,Jakarta Utara,DKI Jakarta,1969.0,,,,,,,,,,
3201,Bogor,Jawa Barat,299893.8,,,,,,,,,,
3202,Sukabumi,Jawa Barat,508220.48,2469110897046.575,2550404561816.027,2573138025303.946,2601851143622.2646,2571199511989.464,2595288311019.5986,2613338830840.961,2643968125823.3013,101745239605.49358,104055807312.67941
3203,Cianjur,Jawa Barat,617941.03,3135707841558.4766,3282070857626.539,3291429977283.33,3304606404844.724,3283231643421.1313,3294477471873.8247,3301414173503.871,3322508788426.8535,130051825932.16255,131918353419.33763
3204,Bandung,Jawa Barat,289205.7,1248776749905.5627,1312348784794.2917,1330175341625.7058,1353382724980.711,1318117275034.6848,1340045182720.9475,1357662565789.252,1390676743039.0015,52288081078.84063,53877888218.74809
3205,Garut,Jawa Barat,441316.2,2359285003629.8994,2428987760461.289,2437722351337.6055,2447937699845.1074,2410919373028.997,2420976734189.8633,2428414024808.9067,2442116796869.1104,96665009152.83493,96945974519.69295
3206,Tasikmalaya,Jawa Barat,430961.73,2230095683629.397,2297875060286.9995,2307731404191.711,2320404219314.1104,2243340697243.219,2255944216243.0293,2267579189238.0107,2284486869109.034,91473763509.33142,90404611813.74496
