kategori_bencana,kabupaten,SUM(jumlah_kejadian)
Banjir,Bangka Selatan,10.0
Kekeringan,Mamuju,1.0
Banjir,Muaro Jambi,32.0
Banjir,Enrekang,24.0
Banjir,Lombok Timur,53.0
Banjir,Berau,12.0
Banjir,Bangka,18.0
Banjir,Sambas,30.0
Banjir,Nias Utara,14.0
Banjir,Kota Tebing Tinggi,34.0
Kekeringan,Kediri,5.0
Kekeringan,Bangka,0.25
Banjir,Batang,27.0
Banjir,Sleman,25.0
Banjir,Kota Balikpapan,34.0
Banjir,Ngawi,30.166666999459267
Banjir,Kutai Kartanegara,66.33333298563957
Kekeringan,Kulon Progo,10.0
Banjir,Manggarai Barat,8.0
Banjir,Pinrang,50.5
Kekeringan,Pelalawan,1.0
Banjir,Magelang,43.33333298563957
Banjir,Tulang Bawang Barat,6.0
Banjir,Morowali,29.0
Kekeringan,Bima,19.0
Banjir,Katingan,28.0
Kekeringan,Wonosobo,7.0
Kekeringan,Pringsewu,2.0
Banjir,Aceh Barat Daya,32.41666699945927
Kekeringan,Purbalingga,9.11111111111111
Banjir,Kota Parepare,7.0
Banjir,Kota Jambi,17.0
Banjir,Blitar,22.0
